ST|ZIPCODE|GEO_ID|GEO_TTL|FOOTID_GEO|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|YEAR|ESTAB|ESTAB_F|EMP|EMP_F|EMP_N|EMP_N_F|PAYQTR1|PAYQTR1_F|PAYQTR1_N|PAYQTR1_N_F|PAYANN|PAYANN_F|PAYANN_N|PAYANN_N_F
01|35004|8610000US35004|35004(MOODY,AL)||00|Total for all sectors||2012|167||2574||0|H|19448||0|H|83803||0|H
01|35005|8610000US35005|35005(ADAMSVILLE,AL)||00|Total for all sectors||2012|88||665||0|G|3948||0|G|16299||0|G
01|35006|8610000US35006|35006(ADGER,AL)||00|Total for all sectors||2012|20||0|g|0|D|0|D|0|D|0|D|0|D
01|35007|8610000US35007|35007(ALABASTER,AL)||00|Total for all sectors||2012|596||10347||0|H|82101||0|H|343200||0|H
01|35010|8610000US35010|35010(ALEXANDER CITY,AL)||00|Total for all sectors||2012|463||6725||0|G|46164||0|G|196231||0|G
01|35011|8610000US35011|35011(ALEXANDER CITY,AL)||00|Total for all sectors||2012|30||0|f|0|S|9107||0|H|34956||0|H
01|35013|8610000US35013|35013(ALLGOOD,AL)||00|Total for all sectors||2012|3||0|b|0|D|0|D|0|D|0|D|0|D
01|35014|8610000US35014|35014(ALPINE,AL)||00|Total for all sectors||2012|23||106||0|G|541||0|G|2486||0|G
01|35015|8610000US35015|35015(ALTON,AL)||00|Total for all sectors||2012|4||0|b|0|S|354||0|G|1422||0|G
01|35016|8610000US35016|35016(ARAB,AL)||00|Total for all sectors||2012|313||3306||0|G|23834||0|G|95378||0|G
01|35019|8610000US35019|35019(BAILEYTON,AL)||00|Total for all sectors||2012|22||157||0|G|812||0|G|3243||0|G
01|35020|8610000US35020|35020(BESSEMER,AL)||00|Total for all sectors||2012|512||6163||0|G|52072||0|G|217001||0|G
01|35021|8610000US35021|35021(BESSEMER,AL)||00|Total for all sectors||2012|23||332||0|G|3224||0|G|14055||0|G
01|35022|8610000US35022|35022(BESSEMER,AL)||00|Total for all sectors||2012|435||8886||0|G|79941||0|G|329292||0|G
01|35023|8610000US35023|35023(BESSEMER,AL)||00|Total for all sectors||2012|373||4656||0|G|35721||0|G|145253||0|G
01|35031|8610000US35031|35031(BLOUNTSVILLE,AL)||00|Total for all sectors||2012|76||1068||0|G|7241||0|G|29142||0|G
01|35032|8610000US35032|35032(BON AIR,AL)||00|Total for all sectors||2012|3||0|b|0|D|0|D|0|D|0|D|0|D
01|35033|8610000US35033|35033(BREMEN,AL)||00|Total for all sectors||2012|25||0|c|0|S|1198||0|H|5412||0|H
01|35034|8610000US35034|35034(BRENT,AL)||00|Total for all sectors||2012|55||1159||0|G|10940||0|G|48499||0|G
01|35035|8610000US35035|35035(BRIERFIELD,AL)||00|Total for all sectors||2012|27||184||0|G|2280||0|H|9070||0|G
01|35036|8610000US35036|35036(BROOKSIDE,AL)||00|Total for all sectors||2012|2||0|a|0|D|0|D|0|D|0|D|0|D
01|35040|8610000US35040|35040(CALERA,AL)||00|Total for all sectors||2012|274||3996||0|H|46548||0|H|176037||0|H
01|35042|8610000US35042|35042(CENTREVILLE,AL)||00|Total for all sectors||2012|108||1024||0|G|7038||0|G|29175||0|G
01|35043|8610000US35043|35043(CHELSEA,AL)||00|Total for all sectors||2012|182||1622||0|G|13050||0|G|55295||0|G
01|35044|8610000US35044|35044(CHILDERSBURG,AL)||00|Total for all sectors||2012|138||1309||0|G|10685||0|G|46078||0|G
01|35045|8610000US35045|35045(CLANTON,AL)||00|Total for all sectors||2012|367||3976||0|G|28116||0|G|118527||0|G
01|35046|8610000US35046|35046(CLANTON,AL)||00|Total for all sectors||2012|67||636||0|G|3896||0|G|15424||0|G
01|35048|8610000US35048|35048(CLAY,AL)||00|Total for all sectors||2012|8||98||0|G|335||0|G|1094||0|G
01|35049|8610000US35049|35049(CLEVELAND,AL)||00|Total for all sectors||2012|51||286||0|G|1762||0|G|7364||0|G
01|35051|8610000US35051|35051(COLUMBIANA,AL)||00|Total for all sectors||2012|161||1470||0|G|9784||0|G|41385||0|G
01|35052|8610000US35052|35052(COOK SPRINGS,AL)||00|Total for all sectors||2012|2||0|e|0|D|0|D|0|D|0|D|0|D
01|35053|8610000US35053|35053(CRANE HILL,AL)||00|Total for all sectors||2012|31||100||0|G|503||0|G|2120||0|G
01|35054|8610000US35054|35054(CROPWELL,AL)||00|Total for all sectors||2012|69||226||0|G|1235||0|G|5519||0|G
01|35055|8610000US35055|35055(CULLMAN,AL)||00|Total for all sectors||2012|860||12129||0|G|95117||0|G|387034||0|G
01|35056|8610000US35056|35056(CULLMAN,AL)||00|Total for all sectors||2012|54||552||0|G|6278||0|G|24634||0|G
01|35057|8610000US35057|35057(CULLMAN,AL)||00|Total for all sectors||2012|162||1674||0|G|12067||0|G|57695||0|G
