ZIPCODE,AVG_EMP_AGE
35005,45
35010,39
35013,42
35014,43
35015,41
35022,42
35023,38
35031,45
35032,40
35033,36
35035,41
35042,43
35044,47
35045,45
35049,46
35051,39
35054,47
35056,37
35060,35
35061,40
35062,38
35070,42
35071,44
35077,40
35082,44
35085,43
35087,40
35094,37
35097,43
35115,47
35116,45
35119,37
35123,46
35125,43
35126,45
35127,40
35128,37
35130,42
35131,37
35135,36
35136,44
35146,44
35147,38
35148,42
35149,36
35151,45
35160,44
35161,47
35171,41
35172,38
35182,36
35184,35
35185,40
35201,37
35203,46
35204,47
35205,46
35206,35
35209,37
35210,46
35212,42
35214,43
35215,41
35217,47
35222,44
35235,37
35238,43
35242,43
35243,44
35244,39
35246,35
35253,43
35259,42
35261,41
35288,39
35291,35
35294,42
35298,43
35401,41
35402,44
35403,43
35404,40
35441,37
35446,44
35447,46
35452,41
35453,38
35459,36
35460,42
35463,45
35464,39
35466,47
35469,45
35470,37
35471,47
35476,43
35477,45
35486,45
35490,46
35503,42
35504,38
35541,41
35543,38
35544,43
35546,42
35548,45
35550,37
35551,36
35552,39
35553,47
35563,39
35564,43
35570,36
35571,36
35573,38
35574,36
35575,47
35577,43
35579,37
35584,42
35585,45
35586,38
35587,44
35594,46
35601,40
35602,45
35609,36
35612,40
35615,41
35617,36
35618,38
35621,35
35622,40
35632,36
35645,38
35647,37
35652,45
35653,36
35660,41
35661,45
35662,39
35671,45
35673,38
35740,37
35741,42
35742,43
35746,40
35747,40
35748,40
35750,42
35751,39
35752,38
35755,43
35761,43
35762,41
35767,39
35772,35
35773,43
35774,43
35801,35
35802,38
35805,39
35809,46
35810,37
35815,40
35899,47
35903,42
35953,46
35960,42
35961,37
35967,42
35973,42
35974,44
35979,41
35981,45
35983,43
35984,36
35986,38
35987,35
36005,41
36008,35
36013,37
36020,40
36027,41
36028,41
36030,46
36033,40
36037,44
36039,40
36043,41
36045,43
36047,42
36049,39
36051,43
36057,42
36065,35
36066,35
36075,40
36078,45
36081,38
36083,46
36088,38
36091,46
36102,38
36103,37
36105,36
36106,47
36107,37
36108,41
36111,42
36112,40
36113,40
36114,38
36117,35
36118,45
36121,47
36123,41
36124,43
36130,46
36201,35
36207,44
36250,45
36251,42
36253,36
36254,38
36255,42
36256,46
36258,47
36260,38
36263,42
36264,45
36269,38
36273,47
36274,37
36277,38
36280,38
36302,37
36304,43
36305,45
36312,43
36316,38
36318,41
36331,39
36340,35
36343,41
36344,44
36349,36
36350,41
36352,36
36353,44
36361,47
36370,41
36374,42
36420,45
36425,38
36426,45
36427,44
36429,37
36436,47
36441,44
36442,40
36445,42
36446,36
36451,36
36454,46
36457,43
36460,47
36467,35
36471,37
36473,37
36474,40
36475,43
36476,41
36477,45
36502,35
36504,47
36505,40
36513,45
36521,45
36522,39
36523,45
36524,44
36538,44
36540,36
36541,45
36544,43
36545,36
36548,41
36549,37
36550,43
36553,41
36558,38
36562,43
36571,42
36576,35
36578,37
36579,40
36580,43
36581,39
36584,45
36587,39
36590,38
36602,46
36603,46
36605,41
36606,37
36607,42
36608,36
36610,41
36611,46
36612,38
36613,35
36616,45
36619,35
36633,46
36640,47
36660,45
36685,37
36689,43
36691,39
36695,43
36702,42
36703,38
36720,44
36722,38
36728,39
36736,39
36738,36
36748,37
36749,40
36753,36
36756,36
36761,46
36762,45
36763,40
36764,41
36768,35
36769,46
36775,40
36776,37
36784,40
36785,40
36793,45
36802,47
36803,39
36804,47
36831,46
36849,46
36851,45
36854,37
36855,43
36856,44
36858,44
36859,46
36860,42
36866,35
36868,47
36869,38
36871,37
36874,35
36879,46
36901,43
36904,47
36910,42
36912,45
36913,36
36915,46
36919,46
36922,47
36925,37
99501,39
99504,43
99506,41
99508,43
99514,43
99516,45
99517,39
99518,43
99519,38
99520,36
99521,37
99522,45
99523,35
99524,44
99546,37
99551,40
99553,36
99554,47
99557,37
99558,40
99559,38
99571,41
99572,43
99577,47
99578,42
99579,45
99583,45
99585,44
99586,42
99587,45
99588,41
99590,37
99603,38
99604,35
99605,44
99607,43
99612,43
99613,36
99619,39
99621,46
99622,47
99627,35
99628,39
99629,38
99630,43
99631,44
99633,40
99634,42
99635,41
99638,47
99639,37
99640,36
99643,36
99644,44
99647,44
99648,42
99650,42
99651,46
99652,35
99653,44
99654,44
99657,44
99658,39
99660,41
99661,47
99663,35
99664,36
99665,36
99666,46
99669,39
99674,44
99677,39
99680,44
99681,35
99682,44
99683,47
99684,37
99685,43
99686,39
99689,43
99690,44
99691,44
99693,41
99694,36
99697,43
99703,47
99705,44
99707,35
99709,43
99710,45
99711,42
99712,35
99720,42
99721,40
99722,40
99727,44
99729,43
99732,40
99737,40
99738,47
99739,38
99741,46
99747,47
99749,39
99751,37
99755,42
99760,35
99761,39
99768,41
99770,36
99771,38
99772,35
99773,40
99778,41
99780,45
99781,44
99782,35
99784,41
99785,39
99789,47
99790,42
99791,39
99824,36
99825,44
99827,37
99830,38
99835,42
99850,45
99901,39
99922,35
99927,39
85001,38
85004,38
85008,41
85010,37
85011,45
85013,43
85014,38
85016,46
85019,36
85023,35
85026,45
85028,43
85029,43
85030,36
85032,47
85033,45
85036,41
85037,35
85038,35
85039,39
85041,47
85043,41
85045,39
85048,47
85051,39
85063,43
85064,36
85068,45
85070,36
85071,35
85072,36
85074,43
85076,47
85078,46
85083,40
85086,35
85087,46
85117,40
85121,45
85127,46
85130,45
85135,38
85139,45
85140,36
85141,46
85143,46
85145,37
85147,43
85173,39
85178,47
85191,46
85193,42
85194,47
85201,35
85202,44
85204,46
85209,47
85210,38
85211,37
85212,46
85213,41
85214,39
85215,40
85216,40
85234,43
85236,35
85244,36
85248,43
85254,36
85255,43
85256,36
85257,38
85258,43
85261,39
85267,47
85271,45
85298,38
85302,43
85303,42
85304,36
85305,44
85306,38
85308,36
85309,46
85311,43
85312,44
85320,41
85321,36
85322,37
85323,42
85325,42
85326,38
85327,46
85328,41
85331,45
85332,43
85338,38
85339,45
85342,43
85343,39
85346,35
85347,42
85348,41
85349,44
85350,35
85351,45
85352,46
85355,41
85356,42
85359,39
85362,47
85367,35
85369,39
85373,42
85375,40
85376,36
85377,45
85380,36
85381,47
85387,45
85395,45
85501,39
85502,47
85530,37
85532,40
85534,42
85535,35
85536,45
85539,37
85540,37
85542,46
85550,39
85551,45
85552,40
85553,43
85601,35
85603,42
85605,40
85610,45
85613,43
85614,35
85615,46
85617,38
85618,42
85619,41
85621,36
85623,37
85628,40
85631,47
85634,37
85636,40
85640,46
85641,37
85643,38
85644,41
85645,41
85648,37
85650,35
85652,45
85654,35
85702,45
85704,38
85706,46
85708,36
85711,36
85712,42
85717,43
85718,47
85721,35
85722,44
85731,35
85734,44
85737,44
85740,40
85741,36
85744,42
85746,42
85747,35
85748,41
85751,38
85752,39
85756,43
85775,45
85901,46
85902,43
85911,44
85924,38
85925,36
85926,39
85932,37
85935,42
85936,45
85937,37
85939,35
85940,36
85941,45
86001,41
86005,46
86011,41
86015,46
86016,47
86017,42
86022,42
86024,44
86025,44
86029,45
86030,46
86032,40
86034,37
86036,38
86038,43
86039,42
86042,37
86043,44
86045,38
86046,42
86047,41
86052,45
86054,35
86303,47
86304,45
86305,47
86313,36
86321,44
86323,40
86327,38
86334,42
86337,35
86341,44
86343,46
86351,35
86404,35
86405,37
86413,47
86429,38
86430,36
86432,41
86434,37
86436,47
86440,42
86441,45
86442,45
86503,42
86504,38
86505,41
86507,39
86511,46
86547,46
86556,41
71602,35
71630,45
71631,40
71635,44
71640,37
71643,35
71646,46
71647,46
71651,47
71653,39
71654,35
71660,42
71665,36
71666,46
71671,40
71674,36
71675,42
71676,40
71677,40
71701,40
71724,40
71725,46
71731,43
71740,40
71742,35
71743,47
71744,42
71745,38
71749,36
71750,44
71753,38
71754,38
71764,43
71765,44
71766,41
71770,39
71801,38
71823,47
71826,38
71832,47
71833,47
71834,40
71835,43
71836,39
71837,43
71840,41
71841,42
71846,47
71853,44
71854,42
71857,47
71859,46
